# Single SKU Max Power Table (unit is 1 dBm)																																																							
# 2.4G Channel	CCK				OFDM								VHT20										VHT40										TxStreamCapability_Delta			TxSpatialStream_Delta																			
Band: 2.4G	CCK_1M	CCK_2M	CCK_5.5M	CCK_18M	OFDM_6M	OFDM_9M	OFDM_12M	OFDM_18M	OFDM_24M	OFDM_36M	OFDM_48M	OFDM_54M	VHT20_MCS0	VHT20_MCS1	VHT20_MCS2	VHT20_MCS3	VHT20_MCS4	VHT20_MCS5	VHT20_MCS6	VHT20_MCS7	VHT20_MCS8	VHT20_MCS9	VHT40_MCS0	VHT40_MCS1	VHT40_MCS2	VHT40_MCS3	VHT40_MCS4	VHT40_MCS5	VHT40_MCS6	VHT40_MCS7	VHT40_MCS8	VHT40_MCS9	Txstream_3T	Txstream_2T	Txstream_1T	Txstream_1SS	Txstream_2SS	Txstream_3SS	Txstream_4SS																
Ch100	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch104	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch108	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch112	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch116	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch120	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch124	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch128	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch132	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch136	18		18		18		18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	18	18		18		18		18	18	18	21	21		21		21		18	18	18	0	0	0	0	0	0	0
Ch140	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch144	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch149	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch153	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch155	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch157	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch159	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch161	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch165	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch169	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch173	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch177	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
Ch181	23		23		23		19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	23		23		23		19	19	19	23	22		22		22		18	18	18	0	0	0	0	0	0	0
